Feature,Importance
"cat__Lat Long_33.859171, -118.252272",7.364238895667675e-05
"cat__Lat Long_34.002642, -118.287596",7.348634597176841e-05
cat__City_Chico,7.3391377024619e-05
cat__City_Birds Landing,7.337773167645952e-05
"cat__Lat Long_32.673483, -116.472863",7.313708450244717e-05
"cat__Lat Long_33.929812, -116.76058",7.304598354832592e-05
cat__City_Lincoln,7.281698749388827e-05
cat__City_Lomita,7.276135181077431e-05
"cat__Lat Long_38.883224, -121.15918",7.274099861952422e-05
cat__City_Angels Camp,7.237277321702829e-05
cat__City_Mountain View,7.228269339873198e-05
cat__City_La Quinta,7.210734851337016e-05
cat__City_Johannesburg,7.2013876615409e-05
"cat__Lat Long_34.227846, -119.079903",7.18835769495975e-05
"cat__Lat Long_33.655421, -117.391751",7.183875871387843e-05
"cat__Lat Long_32.695681, -116.798386",7.183473300288918e-05
"cat__Lat Long_34.214054, -118.88109",7.144853263167051e-05
cat__City_Ladera Ranch,7.131843315217247e-05
"cat__Lat Long_34.039224, -118.266293",7.125482286445086e-05
"cat__Lat Long_37.901371, -122.572024",7.125354600465557e-05
"cat__Lat Long_33.806708, -117.02007",7.116987217923366e-05
cat__City_Atherton,7.099468721134629e-05
cat__City_Colton,7.079124708436311e-05
cat__City_Vallecito,7.078906405862119e-05
"cat__Lat Long_33.989524, -118.089299",7.067273170112462e-05
cat__City_Cardiff By The Sea,7.061775942554921e-05
"cat__Lat Long_32.636792, -117.054989",7.050783716213502e-05
cat__City_Alturas,7.042996774696544e-05
"cat__Lat Long_38.25485, -122.461799",7.03650399760769e-05
cat__City_Rialto,7.019370541485015e-05
cat__City_Ventura,6.992521366104175e-05
"cat__Lat Long_33.695532, -116.310571",6.976643031742546e-05
"cat__Lat Long_32.726627, -116.994608",6.970861174960295e-05
cat__City_Sun City,6.969684455742457e-05
"cat__Lat Long_33.829583, -116.474131",6.966260897424127e-05
"cat__Lat Long_35.073777, -118.652112",6.963301199774079e-05
"cat__Lat Long_38.419088, -122.024568",6.950533900155353e-05
cat__City_Carson,6.926355536561961e-05
"cat__Lat Long_39.117018, -120.212535",6.90580859720811e-05
cat__City_Bellflower,6.89944207946577e-05
"cat__Lat Long_34.110444, -118.156957",6.89856461783185e-05
"cat__Lat Long_34.024405, -117.898722",6.8897185760321e-05
cat__City_New Cuyama,6.887054704738537e-05
cat__City_Altadena,6.8737421679344e-05
cat__City_Rancho Cordova,6.871370754975157e-05
cat__City_Redding,6.867031818699741e-05
"cat__Lat Long_38.287136, -122.02711",6.866462731565949e-05
"cat__Lat Long_32.800671, -116.483363",6.860048257296508e-05
"cat__Lat Long_38.140719, -121.838298",6.85805467617875e-05
